Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
35879,77.401.764-K,BARRIENTOS,&,CRUZ,2025-07-24,
35880,76.434.594-0,BULL,BLACK,2025-07-24,,
35881,77.365.897-8,HOMBRE,DE,CAMPO,SPA,2025-07-24
TRANSFER,&,TURISMO,,,,
35882,76.051.019-K,2025-07-24,,,,
35883,76.051.171-4,2025-07-24,,,,
EQUIPOS,DE,ENERGIA,Y,,,
DE,SERVICIOS,A,LA,MINE,,
JARDÍN,INFANTIL,Y,SALA,,,
35884,76.434.672-6,CUNA,HERABUNTUR,2025-07-24,,
35885,77.401.964-2,2025-07-24,,,,
35886,14.462.183-2,2025-07-24,,,,
35887,77.402.015-2,BENGALA,DIGITAL,SPA,2025-07-24,
ASESORIA,Y,SERVICIOS,,,,
35888,76.434.691-2,EN,GESTION,DE,CALIDAD,2025-07-24
SANTA,ALEJANDRA,SPA,,,,
PIZARRO,Y,SALVATIERRA,,,,
35889,77.402.463-8,2025-07-24,,,,
