Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
74001,77.487.048-2,MASTER,ECO,365,SPA,2025-07-24,,,,
74002,77.559.702-K,2025-07-24,,,,,,,,
FAST,TURTLE,ESTUDIO,DE,,,,,,,
74003,76.858.267-K,2025-07-24,,,,,,,,
74004,77.487.544-1,NEW,GRAVITY,SPA,2025-07-24,,,,,
74005,77.560.172-8,OCEANICA,PRO,SPA,2025-07-24,,,,,
74006,76.858.871-6,2025-07-24,,,,,,,,
74007,77.510.142-3,COMERCIAL,ESTILO,MIO,SPA,2025-07-24,,,,
74008,77.732.128-5,2025-07-24,,,,,,,,
74009,78.036.629-K,LIBE,CHILE,SPA,2025-07-24,,,,,
74010,77.025.096-K,2025-07-24,,,,,,,,
74011,77.025.318-7,FOOD,SANTIAGO,SPA,2025-07-24,,,,,
