Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
77.888.327-9,M,&,M,SPA,2025-07-24,,,
82255,77.355.278-9,LIDITEC,SPA,2025-07-24,,,,
82256,96.951.490-7,NOVASALUD,COM,S,A,2025-07-24,,
82257,77.876.928-K,FUSION,EVENTOS,SPA,2025-07-24,,,
82258,77.888.818-1,2025-07-24,,,,,,
82259,96.960.960-6,F,Y,P,SOPORTE,S,A,2025-07-24
LET'S,TALK,CONSULTING,,,,,,
82260,77.937.316-9,2025-07-24,,,,,,
82261,78.010.761-8,2025-07-24,,,,,,
82262,77.356.751-4,BANDITA,ZAPATILLA,SPA,2025-07-24,,,
82263,77.937.445-9,SBCLIMA,SPA,2025-07-24,,,,
82264,78.011.212-3,2025-07-24,,,,,,
82265,77.357.709-9,2025-07-24,,,,,,
DISTRIBUIDORA,SYS,SPA,,,,,,
